1,2011-09-29,1,0962,8606,2477,6769,5566,3961,2382,2064,5822,2798
2,2011-09-29,2,5919,5121,8176,0083,6688,4018,8046,1029,6168,4318
3,2011-11-08,1,3822,4388,6124,9889,3780,1446,2684,5706,6720,6191
4,2011-11-08,2,3633,7783,4151,0197,3989,4861,2513,5371,4628,3693
5,2011-11-30,1,5601,4446,1773,5492,8136,7055,9665,7813,2616,8476
6,2011-11-30,2,8681,4867,2069,4927,4747,4146,7168,0045,7159,9449
7,2012-04-10,1,5563,6413,7928,0515,1956,9210,8176,5419,6931,9907
8,2012-04-10,2,1074,4520,3819,3990,2512,8745,8341,2784,6889,5286
9,2011-06-09,1,1973,9088,1922,6125,1225,9312,5302,3974,4785,7388
10,2011-06-09,2,1441,8978,9409,0259,8631,3535,8496,8235,7223,8211
11,2011-05-18,1,8675,3133,0115,5261,3791,9059,3161,7699,8077,9253
12,2011-05-18,2,1704,7240,4942,3688,9468,4392,9691,8336,0065,4564
13,2012-05-18,1,2044,5323,1087,4948,2178,5612,2598,2263,0366,9213
14,2012-05-18,2,1827,9455,3601,7128,9343,0918,3897,9873,4414,5165
15,2012-04-19,1,0028,0681,1365,7265,2770,3325,6438,0452,5476,5166
16,2012-04-19,2,8472,2111,0908,6268,8547,7829,1219,9752,8690,0761
17,2012-02-25,1,7523,0021,7834,2278,2594,6584,3421,0603,1666,8995
18,2012-02-25,2,8625,3725,6896,7526,4061,7100,5422,0137,1566,1080
19,2012-05-08,1,7284,9270,4626,1813,0396,4988,8213,0865,1871,4819
20,2012-05-08,2,8171,3665,0672,9773,0290,1992,5852,2786,3927,1283
21,2011-09-02,1,5902,2975,0021,3333,1100,9355,5397,9301,3598,7219
22,2011-09-02,2,5714,7410,6050,9803,4096,8369,4176,5267,9680,9509
23,2011-05-25,1,1370,9170,1631,0827,2246,9012,8049,3481,4361,2436
24,2011-05-25,2,8186,5391,0005,7155,5230,6186,3366,5773,8908,1811
25,2012-05-25,1,5858,1409,5129,4399,4780,4431,4972,6856,0265,1192
26,2012-05-25,2,1731,6175,2511,4488,0904,8963,3868,9239,9075,9720
27,2011-12-16,1,1747,5510,3569,2010,1065,5635,7520,6271,9394,6622
28,2011-12-16,2,4956,3082,4826,5081,7901,9580,1593,1728,8205,9053
29,2011-10-24,1,8237,5063,8931,1923,1567,2041,0845,9056,1402,6951
30,2011-10-24,2,2535,9393,7765,4031,6592,4345,3968,8957,8689,7983
31,2011-06-18,1,7976,4922,0920,5472,1328,1017,7814,6409,0030,5110
32,2011-06-18,2,9276,3843,8254,1981,6769,5763,4253,4579,0656,0330
33,2012-06-18,1,1460,5115,4466,9910,9803,5595,7742,9604,6682,8643
34,2012-06-18,2,4658,5195,9530,8438,6299,1361,2732,9090,6226,5663
35,2011-05-07,1,3072,9153,8106,1844,3868,1798,4416,9312,2357,5017
36,2011-05-07,2,3228,7225,4406,9876,3842,9846,5791,4129,7101,1319
37,2011-10-08,1,0720,3285,3097,4776,1131,2112,4647,4911,9071,6078
38,2011-10-08,2,2214,5922,7549,0648,1854,1124,2821,9556,0251,6280
39,2012-05-07,1,4981,1441,1904,2859,5304,4145,8135,8429,6781,1767
40,2012-05-07,2,5859,6455,0564,9289,8520,7686,2584,3638,5906,6407
41,2012-01-12,1,0834,5838,0492,8801,6473,0179,3994,4619,5997,2162
42,2012-01-12,2,6499,5315,8153,2887,3499,4901,2575,3220,9271,9800
43,2012-02-24,1,8674,0637,6755,2065,1769,6883,8882,8575,2371,6204
44,2012-02-24,2,1246,1500,2286,1001,7543,8566,5657,6153,9122,2319
45,2011-07-02,1,3630,5193,8513,2101,8846,6569,1211,5520,0907,4966
46,2011-07-02,2,3756,0756,3512,9892,4468,8123,8931,9249,0681,9578
47,2011-06-02,1,1891,7838,3462,8868,5389,6505,0308,7504,0846,1550
48,2011-06-02,2,6188,4065,3512,7496,3235,0000,3992,5564,8153,3631
49,2012-05-29,1,5164,9698,6987,8451,0363,4606,5938,2003,3409,6403
50,2012-05-29,2,2786,0979,0930,9498,8648,7921,3174,8841,5617,5878
51,2012-05-19,1,8462,6433,3421,9885,3698,9215,3992,0150,1284,5192
52,2012-05-19,2,7777,5629,3937,8530,7623,8286,6218,7636,5360,4012
53,2011-05-13,1,2740,2750,3228,4442,4047,1220,9635,2041,6799,5057
54,2011-05-13,2,5693,0723,5542,7133,7218,6136,8945,0080,4224,6654
55,2011-07-23,1,1064,9455,6777,3178,5933,3015,6233,0755,9510,9089
56,2011-07-23,2,1086,5754,9939,9823,5996,8071,0115,5010,5629,0309
57,2012-06-09,1,9779,0495,6074,2151,1372,8831,5018,6462,3578,3110
58,2012-06-09,2,5093,8288,1096,8681,0745,3589,0201,2577,4448,6688
59,2011-11-04,1,2871,2083,8449,6403,8897,2265,8749,5256,6024,3896
60,2011-11-04,2,9652,2618,3772,4918,4608,8738,5119,0550,0581,5542
61,2011-12-21,1,1319,4637,9990,1120,0098,8081,9570,6660,7323,0838
62,2011-12-21,2,8865,2827,4751,3223,9488,9822,1508,2226,8977,8580
63,2012-04-23,1,0177,9248,3802,9260,8345,9022,6056,1346,4761,9693
64,2012-04-23,2,1774,7110,1214,7475,7794,1203,5375,5924,8117,1656
65,2012-03-28,1,7295,9116,8550,9237,9743,5677,8151,2932,9950,3250
66,2012-03-28,2,0677,4737,9379,5655,7099,8073,3294,9832,4001,5556
67,2012-01-30,1,1214,8730,4058,7783,2380,4758,7498,0785,9832,4312
68,2012-01-30,2,8071,7839,7092,2620,3674,4796,9806,6150,6159,8254
69,2011-08-26,1,1831,5350,0885,9588,1351,3923,0857,9515,2167,0478
70,2011-08-26,2,7160,0523,7164,7276,9144,7699,4011,8848,4994,2838
71,2011-06-07,1,2411,6034,8033,3160,4298,9102,3957,9644,0270,5266
72,2011-06-07,2,6284,5918,3706,8027,1974,5482,4109,1464,0903,3646
73,2012-01-11,1,5246,1053,9984,1825,9478,8279,7801,7258,8755,3111
74,2012-01-11,2,5871,0747,6294,7460,0833,7987,6215,3335,1217,5126
75,2012-02-22,1,5853,7053,5079,5218,2580,6678,1874,3076,8996,5060
76,2012-02-22,2,4962,9758,7741,4067,0671,3254,5371,2804,4396,4716
77,2011-10-10,1,6737,9962,6068,3784,1620,1527,7353,1129,5716,5165
78,2011-10-10,2,1971,6363,8420,4695,1217,6491,2891,5764,1111,5513
79,2011-09-21,1,2936,2160,8281,3406,2232,2679,3440,1397,1190,5393
80,2011-09-21,2,4066,4078,7946,2717,9756,0215,8275,3192,9480,4656
81,2011-12-19,1,7914,0215,9288,3128,6203,1903,8050,4832,0573,7544
82,2011-12-19,2,0425,4042,4000,0302,0323,3958,5213,4380,0856,1401
83,2012-04-24,1,5765,5864,6340,6592,4829,2979,5129,9688,1551,0419
84,2012-04-24,2,2342,6146,5830,3105,5937,1883,9690,6665,4731,6422
85,2011-08-06,1,4153,2359,9905,4891,3978,8333,8487,9171,4391,3408
86,2011-08-06,2,9830,6344,4672,8845,0181,4900,0327,0569,3650,3503
87,2012-03-13,1,6440,9885,8267,4782,3824,9590,0107,0858,2049,8673
88,2012-03-13,2,6744,8634,0885,4323,5730,1072,9937,0226,2100,6705
89,2012-04-12,1,7392,6724,6985,7148,0939,7974,0637,9075,9357,8161
90,2012-04-12,2,6543,2569,9273,3697,5831,9507,9263,9219,5745,3205
91,2012-01-07,1,6685,9084,7499,4929,2351,4216,0637,0182,6485,4674
92,2012-01-07,2,0696,3453,7297,5487,8590,0151,5370,6637,3569,2661
93,2011-11-21,1,4572,3313,1633,5734,4300,3522,6410,8192,9644,2317
94,2011-11-21,2,1926,6468,3794,0411,2873,7584,1254,6635,5971,2382
95,2012-02-09,1,8053,1273,2386,6777,7361,5891,8222,1653,6354,9885
96,2012-02-09,2,7430,3725,6289,9440,1352,4008,4903,4316,1372,9487
97,2012-03-06,1,2550,0028,0484,8961,6448,0692,9364,9009,2569,5811
98,2012-03-06,2,9651,4214,7878,2813,8545,6510,2918,3584,6148,5838
99,2012-03-07,1,8359,0040,8399,2303,9084,1457,5654,9302,0866,9269
100,2012-03-07,2,8853,8417,8184,7307,8321,6788,8080,0366,8795,9151
101,2011-06-10,1,7514,5137,2661,3312,7521,6830,7093,9695,6400,5902
102,2011-06-10,2,6253,9184,5578,1638,2333,8736,3741,6608,0405,4699
103,2012-04-09,1,2693,8661,2290,8763,5473,4718,2715,7446,8805,5275
104,2012-04-09,2,7132,1502,4468,1632,0835,8807,5897,8527,1591,0565
105,2011-07-09,1,1498,1492,4817,2741,3751,7893,2743,0197,5818,1640
106,2011-07-09,2,8623,1279,1512,4379,3117,8262,1989,3194,9092,6665
107,2012-04-26,1,4180,1506,9082,9464,4191,1645,5240,2570,2874,2144
108,2012-04-26,2,6060,5938,4522,9045,4235,7152,7581,1142,8826,7964
109,2011-08-25,1,2515,2070,7584,7262,9727,3231,7610,7769,3699,7292
110,2011-08-25,2,4835,9280,3802,3403,4971,8848,2863,9154,5245,0533
111,2011-09-19,1,1767,5236,0218,8618,3534,4797,6184,1884,7380,3193
112,2011-09-19,2,6366,6661,9169,7013,6645,0741,4212,0945,8084,1186
113,2011-05-28,1,6545,0533,8224,3857,5191,2376,8234,5584,5860,8680
114,2011-05-28,2,9465,3471,6504,1803,2083,8639,1035,6991,1315,3228
115,2012-05-28,1,2389,3490,6666,8142,5462,9578,7793,3294,9618,9115
116,2012-05-28,2,0219,3266,4560,0489,3226,8304,4563,1852,3818,6092
117,2011-12-22,1,8550,1324,4498,8163,7658,3398,5082,2533,5089,4836
118,2011-12-22,2,2848,8813,1233,5617,1801,4327,2385,5466,7047,8522
119,2012-04-03,1,7164,4360,3059,3995,1918,8700,2591,4701,1221,1617
120,2012-04-03,2,7043,7443,4429,7453,9030,3861,8511,9962,1234,4881
121,2012-02-23,1,1747,4622,1528,5699,3819,1602,4766,6715,7520,4697
122,2012-02-23,2,3959,8427,7845,5936,0952,0243,1235,4248,4467,7262
